datatime,external_event
2020-03-28 09:39:23,B
2020-03-27 17:42:05,B
2020-03-27 17:42:06,B
2020-03-27 17:42:07,B
2020-03-27 17:42:08,B
2020-03-27 17:42:09,B
2020-03-27 17:42:10,B
2020-03-27 17:42:11,B
2020-03-27 17:42:12,B
2020-03-27 17:42:13,B
2020-03-27 17:42:14,B
2020-03-27 17:42:15,B
2020-03-27 17:42:16,B
2020-03-27 17:42:17,B
2020-03-27 17:42:18,B
2020-03-27 17:42:19,B
2020-03-27 17:42:20,B
2020-03-23 18:09:30,B
2020-03-23 18:09:31,B
2020-03-23 18:09:32,B
2020-03-23 18:09:33,B
2020-03-23 18:09:34,B
2020-03-23 18:09:35,B
2020-03-23 18:09:36,B
2020-03-23 18:09:37,B
2020-03-23 18:09:38,B
2020-03-23 18:09:39,B
2020-03-23 18:09:40,B
2020-03-23 18:09:41,B
2020-03-23 18:09:42,B
2020-03-23 18:09:43,B
2020-03-23 18:09:44,B
2020-03-23 18:09:45,B
2020-03-30 18:55:44,B
2020-03-30 18:55:45,B
2020-03-30 18:55:46,B
2020-03-30 18:55:47,B
2020-03-30 18:55:48,B
2020-03-30 18:55:49,B
2020-03-30 18:55:50,B
2020-03-30 18:55:51,B
2020-03-30 18:55:52,B
2020-03-30 18:55:53,B
2020-03-30 18:55:54,B
2020-03-30 18:55:55,B
2020-03-30 18:55:56,B
2020-03-30 18:55:57,B
2020-03-30 18:55:58,B
2020-03-30 18:55:59,B
2020-03-26 19:17:52,B
2020-03-26 19:17:53,B
2020-03-26 19:17:54,B
2020-03-26 19:17:55,B
2020-03-26 19:17:56,B
2020-03-26 19:17:57,B
2020-03-26 19:17:58,B
2020-03-26 19:17:59,B
2020-03-26 19:18:00,B
2020-03-26 19:18:01,B
2020-03-26 19:18:02,B
2020-03-26 19:18:03,B
2020-03-26 19:18:04,B
2020-03-26 19:18:05,B
2020-03-26 19:18:06,B
2020-03-26 19:18:07,B
2020-03-25 17:49:16,B
2020-03-25 17:49:17,B
2020-03-25 17:49:18,B
2020-03-25 17:49:19,B
2020-03-25 17:49:20,B
2020-03-25 17:49:21,B
2020-03-25 17:49:22,B
2020-03-25 17:49:23,B
2020-03-25 17:49:24,B
2020-03-25 17:49:25,B
2020-03-25 17:49:26,B
2020-03-25 17:49:27,B
2020-03-25 17:49:28,B
2020-03-25 17:49:29,B
2020-03-25 17:49:30,B
2020-03-25 17:49:31,B
2020-03-31 15:01:24,B
2020-03-31 15:01:25,B
2020-03-31 15:01:26,B
2020-03-31 15:01:27,B
2020-03-31 15:01:28,B
2020-03-31 15:01:29,B
2020-03-31 15:01:30,B
2020-03-31 15:01:31,B
2020-03-31 15:01:32,B
2020-03-31 15:01:33,B
2020-03-31 15:01:34,B
2020-03-31 15:01:35,B
2020-03-31 15:01:36,B
2020-03-31 15:01:37,B
2020-03-31 15:01:38,B
2020-03-31 15:01:39,B
2020-03-21 12:15:41,B
2020-03-21 12:15:42,B
2020-03-21 12:15:43,B
2020-03-21 12:15:44,B
2020-03-21 12:15:45,B
2020-03-21 12:15:46,B
2020-03-21 12:15:47,B
2020-03-21 12:15:48,B
2020-03-21 12:15:49,B
2020-03-21 12:15:50,B
2020-03-21 12:15:51,B
2020-03-21 12:15:52,B
2020-03-21 12:15:53,B
2020-03-21 12:15:54,B
2020-03-21 12:15:55,B
2020-03-21 12:15:56,B
2020-03-27 19:31:29,B
2020-03-27 19:31:30,B
2020-03-27 19:31:31,B
2020-03-27 19:31:32,B
2020-03-27 19:31:33,B
2020-03-27 19:31:34,B
2020-03-27 19:31:35,B
2020-03-27 19:31:36,B
2020-03-27 19:31:37,B
2020-03-27 19:31:38,B
2020-03-27 19:31:39,B
2020-03-27 19:31:40,B
2020-03-27 19:31:41,B
2020-03-27 19:31:42,B
2020-03-27 19:31:43,B
2020-03-27 19:31:44,B
2020-03-22 18:31:39,B
2020-03-22 18:31:40,B
2020-03-22 18:31:41,B
2020-03-22 18:31:42,B
2020-03-22 18:31:43,B
2020-03-22 18:31:44,B
2020-03-22 18:31:45,B
2020-03-22 18:31:46,B
2020-03-22 18:31:47,B
2020-03-22 18:31:48,B
2020-03-22 18:31:49,B
2020-03-22 18:31:50,B
2020-03-22 18:31:51,B
2020-03-22 18:31:52,B
2020-03-22 18:31:53,B
2020-03-22 18:31:54,B
2020-03-29 16:14:06,B
2020-03-29 16:14:07,B
2020-03-29 16:14:08,B
2020-03-29 16:14:09,B
2020-03-29 16:14:10,B
